price,square,livingRoom,drawingRoom,kitchen,bathRoom,floor,buildingType,constructionTime,renovationCondition,buildingStructure,elevator,subway,district
99511,61.3,2,1,1,1,6,4,1988,4,2,0,1,8
47560,79.9,2,1,1,1,6,4,2004,4,2,0,1,6
55350,51.31,1,1,1,1,6,4,1994,2,2,0,1,7
43684,118.58,3,1,1,1,6,4,2006,3,2,0,1,6
112354,70.67,3,1,1,1,6,4,1993,4,2,0,1,8
36071,140.56,3,2,1,2,6,4,2009,4,6,1,0,11
49306,104.45,3,1,1,1,24,1,2001,3,6,1,1,7
34731,87.82,2,1,1,1,14,3,2012,4,6,1,0,5
47247,55.03,2,1,1,1,6,4,1986,3,6,0,0,9
49013,135.68,3,1,1,2,28,3,2008,4,6,1,1,7
40446,78.13,2,1,1,1,22,1,2008,3,6,0,1,7
74097,113.77,3,1,1,2,8,4,2005,3,6,1,1,1
61937,104.3,3,1,1,2,30,1,2001,3,6,1,0,2
45523,80.4,3,1,1,1,6,4,1996,3,2,0,0,7
60724,36.23,1,1,1,1,5,4,1978,3,2,0,1,7
64328,102.6,3,2,1,1,22,1,1996,3,6,1,1,8
80896,180.48,3,1,1,2,32,1,2011,4,6,0,0,7
44887,88,2,1,1,1,6,4,2001,3,2,0,0,4
73931,144.73,3,2,1,2,23,4,2013,4,6,1,0,7
60065,68.26,2,1,1,1,6,4,2000,4,2,0,1,8
86053,105.75,2,2,1,2,30,1,2001,4,6,1,1,8
58857,54.03,1,1,1,1,19,4,2007,4,6,1,1,2
79767,143.92,3,2,1,2,11,4,2005,4,6,1,0,7
55792,65.96,2,1,1,1,14,3,1984,3,6,1,1,7
122165,57.3,2,1,1,1,6,4,1984,4,2,0,1,10
72675,51.6,1,1,1,1,18,4,2007,3,6,1,1,8
74622,54.81,2,1,1,1,6,4,1991,3,2,0,1,7
39015,89.71,2,1,1,1,6,4,2008,3,2,0,0,6
56428,122.28,3,1,1,2,11,4,2004,4,6,1,0,7
50372,80.8,2,1,1,1,28,1,2009,4,6,1,1,7
31663,53.06,1,1,1,1,23,1,2008,4,6,1,1,3
51124,62.32,2,1,1,1,6,4,1995,3,2,0,0,9
62131,116.85,2,2,1,2,10,4,2004,4,6,1,1,2
37244,70.08,2,1,1,1,22,1,2010,4,6,1,1,7
77755,122.18,3,1,1,2,6,4,2004,4,6,1,1,8
63425,69.5,3,1,1,1,6,4,1985,3,2,0,0,8
67341,55.39,2,1,1,1,12,3,1981,3,6,1,1,7
115750,52.7,2,1,1,1,5,4,1981,4,2,0,1,8
65704,79.6,2,2,1,2,24,1,2000,4,6,1,1,7
54720,49.16,1,1,1,1,21,1,2005,3,6,1,1,7
86801,41.82,1,1,1,1,5,4,1982,4,2,0,0,8
68894,57.48,2,1,1,1,6,4,1991,3,2,0,1,8
65600,56.86,2,1,1,1,6,4,1986,3,2,0,1,7
42739,49.37,1,1,1,1,15,4,2012,3,6,1,1,2
40291,108.71,2,1,1,1,12,3,2004,3,6,1,0,11
124690,181.25,3,1,1,2,25,3,2008,4,6,1,1,7
42453,58.89,1,1,1,1,6,4,1995,4,2,0,0,9
61218,57.01,3,1,1,1,6,4,1981,3,2,0,0,7
55804,58.33,1,1,1,1,17,1,1989,1,6,1,1,7
64231,91.39,2,1,1,1,11,4,2005,4,6,1,0,7
41073,74.38,2,1,1,1,7,4,1996,3,2,0,0,6
36795,111.43,2,1,1,1,11,3,2006,4,6,1,1,11
66040,65.87,2,1,1,1,18,1,1989,4,6,1,1,7
41689,96.43,4,1,1,1,25,4,2014,4,6,1,1,4
33180,129.6,3,2,1,2,6,4,2008,3,2,0,0,6
33379,88.08,2,1,1,1,7,4,2003,4,2,0,0,6
59246,65.49,1,1,1,1,19,3,2007,4,6,1,0,7
46277,92.92,2,1,1,1,6,4,2004,3,2,0,0,9
71824,92.31,2,1,1,1,13,4,2005,4,6,1,0,8
117583,54.6,2,1,1,1,6,4,1981,4,2,0,1,8
54445,60.98,2,1,1,1,6,4,1987,4,2,0,1,7
89204,185.53,3,1,1,2,16,3,2001,4,6,1,1,1
63915,82.61,2,1,1,1,26,1,1997,4,6,1,1,7
46910,108.72,2,1,1,1,25,1,2004,4,6,1,1,7
44694,97.33,2,1,1,1,27,4,2013,4,6,1,0,6
42540,62.06,1,1,1,1,26,3,2013,1,6,0,0,2
54761,101.35,2,1,1,1,30,1,2003,4,6,1,1,2
80943,46.7,1,1,1,1,5,4,1995,3,2,0,0,8
83733,58.4,2,1,1,1,21,1,1989,4,6,1,1,8
36971,89.26,3,1,1,1,20,4,2010,4,6,1,0,11
51971,68.5,1,1,1,1,22,1,2001,4,6,1,1,7
51096,162.44,4,2,1,2,8,4,2009,4,6,1,0,8
